,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
899,Phil Collins & Philip Bailey,Easy Lover,0.74,0.923,1,-5.082,1,0.0369,0.105,0.000163,0.0825,0.93,128.871,audio_features,5LYJ631w9ps5h9tdvac7yP,spotify:track:5LYJ631w9ps5h9tdvac7yP,https://api.spotify.com/v1/tracks/5LYJ631w9ps5h9tdvac7yP,https://api.spotify.com/v1/audio-analysis/5LYJ631w9ps5h9tdvac7yP,305867,4
900,The Opposites,Slapeloze Nachten,0.808,0.645,8,-6.928,1,0.0572,0.353,0.000931,0.137,0.81,111.962,audio_features,25JNDWUvZeZpvfXfarMpzJ,spotify:track:25JNDWUvZeZpvfXfarMpzJ,https://api.spotify.com/v1/tracks/25JNDWUvZeZpvfXfarMpzJ,https://api.spotify.com/v1/audio-analysis/25JNDWUvZeZpvfXfarMpzJ,229160,4
901,David Bowie,Wild Is The Wind,0.522,0.58,9,-12.914,0,0.0324,0.0156,0.00168,0.0543,0.493,98.489,audio_features,7ynwkFhXbrQqnMIWqFfRUS,spotify:track:7ynwkFhXbrQqnMIWqFfRUS,https://api.spotify.com/v1/tracks/7ynwkFhXbrQqnMIWqFfRUS,https://api.spotify.com/v1/audio-analysis/7ynwkFhXbrQqnMIWqFfRUS,366360,4
902,Dr. Dre ft. Snoop Dogg,The Next Episode,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,4LwU4Vp6od3Sb08CsP99GC,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507,4
903,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,audio_features,2tUBqZG2AbRi7Q0BIrVrEj,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj,https://api.spotify.com/v1/audio-analysis/2tUBqZG2AbRi7Q0BIrVrEj,291293,4
904,Aretha Franklin,Think (Blues Brothers Version),0.687,0.63,6,-10.817,1,0.0389,0.251,0.0,0.221,0.926,110.051,audio_features,4yQw7FR9lcvL6RHtegbJBh,spotify:track:4yQw7FR9lcvL6RHtegbJBh,https://api.spotify.com/v1/tracks/4yQw7FR9lcvL6RHtegbJBh,https://api.spotify.com/v1/audio-analysis/4yQw7FR9lcvL6RHtegbJBh,139733,4
905,The Killers,Human,0.557,0.8,10,-8.477,1,0.0601,0.00132,0.0012,0.0906,0.582,135.47,audio_features,1sTsuZTdANkiFd7T34H3nb,spotify:track:1sTsuZTdANkiFd7T34H3nb,https://api.spotify.com/v1/tracks/1sTsuZTdANkiFd7T34H3nb,https://api.spotify.com/v1/audio-analysis/1sTsuZTdANkiFd7T34H3nb,245373,4
906,Whitesnake,Here I Go Again,0.234,0.75,4,-7.034,0,0.0738,0.369,0.000805,0.139,0.316,173.81,audio_features,66yF4fCC4NiFZTjhegI90o,spotify:track:66yF4fCC4NiFZTjhegI90o,https://api.spotify.com/v1/tracks/66yF4fCC4NiFZTjhegI90o,https://api.spotify.com/v1/audio-analysis/66yF4fCC4NiFZTjhegI90o,308240,4
907,André Hazes Jr.,Leef,0.673,0.727,9,-6.587,0,0.0401,0.282,0.0,0.178,0.782,121.016,audio_features,4lBkLeU6LNgWzfbWPGm1c9,spotify:track:4lBkLeU6LNgWzfbWPGm1c9,https://api.spotify.com/v1/tracks/4lBkLeU6LNgWzfbWPGm1c9,https://api.spotify.com/v1/audio-analysis/4lBkLeU6LNgWzfbWPGm1c9,217903,4
908,Muse,Unintended,0.487,0.279,6,-11.586,0,0.0265,0.647,0.00185,0.11,0.162,139.362,audio_features,6kyxQuFD38mo4S3urD2Wkw,spotify:track:6kyxQuFD38mo4S3urD2Wkw,https://api.spotify.com/v1/tracks/6kyxQuFD38mo4S3urD2Wkw,https://api.spotify.com/v1/audio-analysis/6kyxQuFD38mo4S3urD2Wkw,237027,4
